id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
38,12.23,2.50,703,1110,408,Truck,1,406.86,24.81,25.20,25.00,80.09,3.17,-1.00,0
39,9.80,2.50,726,1167,442,Truck,2,408.47,21.87,24.07,23.16,70.56,3.21,441.60,0
40,4.65,2.02,784,1090,307,Car,1,408.21,32.74,34.30,33.36,148.88,4.34,-1.00,0
41,4.14,1.82,818,1106,289,Car,1,402.02,33.94,36.33,34.92,25.33,0.74,18.04,0
42,4.75,2.12,841,1134,294,Car,1,409.81,33.99,35.98,34.98,25.25,0.74,39.31,0
43,4.95,2.02,875,1163,289,Car,1,409.57,35.11,35.98,35.57,36.24,1.03,30.57,0
44,4.65,2.22,901,1189,289,Car,1,409.59,34.45,36.11,35.57,31.53,0.89,54.16,0
45,14.65,2.50,916,1354,439,Truck,1,405.93,22.97,23.32,23.17,20.55,0.88,-1.00,0
46,4.24,1.82,922,1212,291,Car,1,410.42,34.51,36.81,35.40,24.09,0.67,18.59,0
47,4.75,1.92,955,1211,257,Car,2,408.80,39.19,40.47,39.95,-1.00,-1.00,-1.00,0
48,4.75,2.02,963,1268,306,Car,1,408.54,31.68,34.44,33.51,54.11,1.59,-1.00,1
49,4.85,2.32,973,1269,297,Car,1,411.15,33.46,36.80,34.75,10.07,0.30,8.06,0
50,4.55,2.02,994,1242,249,Car,2,410.46,40.28,41.91,41.40,46.23,1.10,31.47,0
51,4.95,1.92,1006,1292,287,Car,1,409.71,34.10,37.17,35.83,30.23,0.82,21.82,0
52,16.47,2.50,1009,1463,455,Truck,1,407.58,22.31,22.55,22.45,72.16,3.20,-1.00,0
53,4.75,1.92,1018,1268,251,Car,2,408.98,39.52,41.58,40.93,32.43,0.82,-1.00,0
54,4.55,1.92,1029,1310,282,Car,1,401.78,33.53,37.77,35.77,25.53,0.76,74.38,0
55,4.04,1.82,1071,1361,291,Car,2,410.36,33.04,37.88,35.40,82.97,2.51,-1.00,0
56,5.96,2.32,1072,1444,373,Car,2,410.45,27.27,27.86,27.60,300.29,10.94,88.90,0
57,4.35,1.92,1081,1352,272,Car,1,410.30,36.87,38.81,37.87,53.07,1.38,26.21,0
58,4.55,1.92,1160,1451,292,Car,1,401.43,32.64,35.39,34.50,33.55,0.95,2.61,1
59,4.35,2.02,1167,1442,276,Car,2,410.93,36.94,38.16,37.37,113.82,3.06,34.55,0
60,4.95,2.02,1180,1499,320,Car,2,410.36,31.74,32.46,32.18,30.41,0.94,16.41,1
61,4.24,1.92,1196,1499,304,Car,1,410.06,33.19,34.03,33.85,48.99,1.44,-1.00,0
62,11.93,2.50,1202,1616,415,Truck,1,407.30,24.37,24.70,24.60,41.91,1.69,60.52,0
63,4.55,1.97,1206,1459,254,Car,2,410.21,39.76,41.41,40.55,22.03,0.55,7.57,0
64,4.35,2.02,1241,1655,415,Car,1,409.56,24.50,24.98,24.74,33.68,1.35,68.13,0
65,4.55,2.02,1260,1599,340,Car,1,408.51,29.33,30.58,30.14,79.67,2.71,-1.00,0
66,3.54,1.92,1282,1699,418,Car,1,408.87,24.18,25.00,24.52,36.48,1.50,258.44,0
67,4.55,2.02,1292,1635,344,Car,1,408.33,29.49,30.25,29.78,33.33,1.13,-1.00,0
68,4.65,2.12,1309,1657,349,Car,1,409.53,29.06,29.75,29.44,16.55,0.56,168.90,0
69,4.65,2.02,1328,1678,351,Car,1,406.93,28.63,29.76,29.07,15.51,0.53,55.13,0
70,4.24,2.02,1342,1700,359,Car,1,409.23,27.51,29.51,28.59,14.25,0.49,177.83,0
71,4.95,2.12,1344,1687,344,Car,2,410.88,29.44,30.20,29.96,204.86,6.95,137.21,0
72,10.11,2.50,1346,1765,420,Truck,1,406.19,23.86,24.37,24.24,50.78,2.08,272.45,0
73,3.94,2.02,1374,1791,418,Car,1,409.06,23.93,25.31,24.53,19.36,0.80,25.53,0
74,4.45,2.02,1376,1716,341,Car,1,407.67,26.45,31.10,29.99,12.33,0.43,7.34,0
75,3.74,1.82,1400,1815,416,Car,1,409.69,23.61,26.30,24.69,18.80,0.76,20.68,0
76,4.45,2.02,1405,1731,327,Car,1,402.75,27.02,32.28,30.90,18.10,0.65,13.19,0
77,4.55,1.92,1413,1634,222,Car,2,410.00,44.66,47.48,46.41,248.38,5.33,17.63,0
78,6.06,2.22,1441,1749,309,Car,2,411.36,33.31,33.71,33.41,77.09,2.30,23.18,0
79,4.14,1.92,1471,1812,342,Car,1,409.25,24.66,34.41,30.01,7.18,0.23,3.38,1
80,4.65,2.12,1475,1791,317,Car,1,408.41,25.54,35.09,32.33,53.66,1.78,16.59,0
81,3.94,1.72,1476,1807,332,Car,2,410.81,30.73,31.48,31.05,41.38,1.34,-1.00,0
82,4.75,1.92,1545,1786,242,Car,2,409.10,41.79,42.89,42.46,236.94,5.67,-1.00,0
83,3.64,1.72,1545,1903,359,Car,1,409.85,28.25,29.16,28.63,95.91,3.29,19.08,0
84,4.35,1.92,1603,1876,274,Car,1,407.89,32.77,39.83,37.38,81.44,2.33,7.92,0
85,4.65,1.92,1615,1836,222,Car,2,410.84,45.76,47.28,46.51,88.03,1.91,21.88,0
86,4.95,2.02,1618,1957,340,Car,1,408.44,28.62,32.27,30.13,57.69,1.97,19.46,0
87,4.24,1.92,1642,1872,231,Car,2,411.16,43.37,45.46,44.73,44.98,1.03,-1.00,0
88,4.95,2.02,1647,1917,271,Car,1,401.06,32.74,40.44,37.15,57.27,1.62,32.86,0
89,4.65,2.02,1669,1945,277,Car,2,411.19,36.35,37.81,37.26,203.05,5.44,34.69,0
90,4.04,1.92,1674,1939,266,Car,1,402.30,33.31,39.66,37.97,25.86,0.75,10.31,0
91,4.24,1.82,1687,2024,338,Car,1,409.79,29.95,30.88,30.41,77.89,2.54,38.98,0
92,3.84,1.82,1736,2085,350,Car,1,403.01,28.60,29.09,28.88,54.82,1.91,-1.00,0
93,4.85,1.92,1747,2020,274,Car,2,410.26,36.34,39.31,37.59,103.14,2.69,61.35,1
94,4.85,2.02,1760,2069,310,Car,2,411.65,32.73,33.67,33.32,27.35,0.83,-1.00,0
95,4.85,1.92,1773,2023,251,Car,2,411.09,38.39,43.42,41.12,35.04,0.91,216.66,0
96,4.04,1.92,1791,2066,276,Car,1,409.57,36.72,37.65,37.26,39.80,1.07,4.91,1
97,5.05,2.12,1828,2102,275,Car,2,402.76,35.61,37.11,36.77,52.36,1.41,15.80,1
98,6.67,2.73,1836,2212,377,Truck,2,408.09,26.95,27.39,27.15,26.38,0.97,-1.00,0
99,4.45,2.02,1857,2150,294,Car,2,410.35,34.36,35.56,35.03,35.76,1.04,-1.00,1
100,3.94,1.92,1896,2174,279,Car,2,409.90,34.60,40.21,36.89,46.73,1.27,31.52,0
101,4.85,2.02,1915,2196,282,Car,2,411.96,35.16,39.32,36.67,22.48,0.63,63.71,0
102,4.55,1.92,1941,2224,284,Car,2,408.53,35.68,36.39,36.11,28.65,0.79,84.73,0
103,8.08,2.50,1948,2356,409,Truck,1,406.20,24.69,25.06,24.90,235.45,9.41,-1.00,0
104,4.55,2.02,1951,2161,211,Car,1,408.20,48.02,48.87,48.63,180.82,3.70,15.36,0
105,4.85,2.22,1974,2382,409,Car,1,406.92,24.52,25.49,24.94,20.73,0.83,47.62,0
106,3.84,1.92,1977,2252,276,Car,2,410.50,36.36,38.39,37.35,38.21,1.00,16.74,0
107,3.94,1.82,2015,2315,301,Car,1,403.06,33.39,33.76,33.60,121.45,3.63,-1.00,0
108,4.75,1.92,2020,2290,271,Car,2,408.12,37.08,38.41,37.82,53.88,1.41,104.26,0
109,3.94,1.82,2111,2413,303,Car,2,410.48,33.80,34.13,34.00,268.36,7.90,40.87,0
110,4.85,2.02,2120,2369,250,Car,2,411.46,40.79,41.54,41.34,125.00,3.01,39.86,0
111,4.04,1.82,2177,2484,308,Car,2,410.44,33.19,33.84,33.43,85.96,2.54,-1.00,1
112,14.35,2.50,2187,2629,443,Truck,2,409.66,22.67,23.64,23.18,22.50,0.98,-1.00,0
113,4.85,2.02,2205,2466,262,Car,2,411.04,35.66,41.13,39.40,30.27,0.82,10.68,0
114,5.05,1.92,2229,2498,270,Car,2,410.08,35.26,42.02,38.13,28.07,0.79,-1.00,0
115,5.96,2.32,2242,2544,303,Car,2,399.85,32.51,33.99,33.12,11.70,0.36,-1.00,1
116,4.75,1.92,2296,2569,274,Car,1,407.26,37.04,37.73,37.32,367.93,9.77,91.46,1
117,3.44,1.72,2300,2694,395,Car,1,407.00,25.08,26.20,25.83,41.66,1.60,243.18,0
118,4.85,2.02,2337,2621,285,Car,2,410.77,34.80,37.46,36.18,87.87,2.45,6.99,1
119,4.75,2.02,2364,2698,335,Car,1,406.39,30.35,30.50,30.43,30.41,0.99,7.03,1
120,4.35,2.02,2504,2853,350,Car,1,406.01,28.97,29.26,29.09,165.16,5.69,45.90,0
121,7.68,2.50,2522,2957,436,Truck,2,408.44,22.89,23.89,23.48,300.63,12.97,-1.00,0
122,4.75,1.92,2578,2839,262,Car,2,408.11,37.84,40.61,39.13,338.76,8.89,334.89,0
123,3.94,1.92,2617,2858,242,Car,1,397.92,41.02,42.58,41.32,41.48,1.01,3.39,2
124,4.24,1.92,2652,3018,367,Car,2,408.99,26.92,28.22,27.95,62.91,2.29,16.10,0
125,4.65,2.12,2655,2944,290,Car,1,404.63,34.61,35.40,35.02,16.01,0.45,20.17,0
126,4.85,2.02,2667,2914,248,Car,1,398.39,39.00,42.75,40.35,80.82,2.00,9.96,1
127,5.05,2.02,2716,2946,231,Car,2,408.67,43.58,45.44,44.45,187.41,4.21,47.17,0
128,4.14,1.92,2742,3019,278,Car,1,405.61,36.47,36.86,36.63,105.59,2.88,61.08,0
129,4.04,1.92,2762,3106,345,Car,1,406.00,28.94,30.11,29.52,26.13,0.86,-1.00,0
130,4.14,2.02,2764,3016,253,Car,1,406.77,39.15,40.84,40.38,155.50,3.88,151.14,0
131,4.45,2.02,2794,3049,256,Car,1,407.61,38.39,42.19,39.99,43.97,1.14,41.97,0
132,16.78,2.50,2797,3211,415,Truck,2,406.56,24.10,25.00,24.56,144.18,5.98,-1.00,0
133,4.75,2.02,2830,3037,208,Car,2,409.31,48.38,50.26,49.48,174.70,3.47,36.06,0
134,3.23,1.72,2831,3088,258,Car,1,403.70,38.82,39.77,39.30,50.90,1.31,3661.07,0
135,4.65,2.02,2862,3116,255,Car,2,409.57,39.72,40.82,40.34,57.63,1.45,-1.00,0
136,4.04,1.82,2900,3158,259,Car,2,408.00,38.75,40.34,39.56,55.71,1.43,-1.00,0
137,3.94,1.82,2912,3188,277,Car,2,409.08,36.54,37.66,37.08,27.85,0.75,3.77,1
138,3.84,1.82,2927,3278,352,Car,1,405.98,28.71,29.19,28.92,32.65,1.13,70279.15,0
139,4.55,2.12,2966,3230,265,Car,1,400.28,37.52,38.29,37.93,34.89,0.91,3.79,2
140,4.95,2.12,3112,3385,274,Car,2,408.09,36.68,38.02,37.39,254.84,6.83,20.72,0
141,4.95,2.22,3199,3567,369,Car,1,406.73,26.56,28.85,27.65,22.69,0.83,3499.48,0
142,4.85,1.92,3203,3492,290,Car,2,409.43,35.02,35.73,35.43,136.72,3.86,-1.00,1
143,4.75,2.12,3211,3517,307,Car,1,406.69,32.36,33.79,33.24,-1.00,-1.00,-1.00,1
144,16.07,2.50,3229,3628,400,Truck,2,388.70,23.96,24.78,24.36,27.41,1.12,-1.00,0
145,4.85,1.92,3235,3518,284,Car,1,401.53,33.45,40.81,35.49,28.63,0.82,19.41,0
146,5.46,2.32,3235,3595,361,Car,1,407.57,27.04,29.53,28.31,23.80,0.87,18.69,0
147,4.85,1.92,3242,3519,278,Car,2,409.97,36.39,37.39,37.02,34.61,0.92,14.55,1
148,4.55,1.82,3257,3542,286,Car,1,400.28,33.40,39.73,35.13,23.21,0.68,56.82,0
149,4.35,1.92,3259,3515,257,Car,2,408.27,37.60,42.16,39.89,13.08,0.33,5.38,0
150,4.45,1.82,3269,3626,358,Car,1,408.29,27.40,30.06,28.60,29.78,1.08,42.15,0
151,4.65,1.82,3285,3536,252,Car,2,402.99,37.11,44.01,40.17,35.39,0.88,43.43,0
152,4.45,2.22,3298,3577,280,Car,1,400.29,34.94,37.67,35.88,40.21,1.14,17.64,0
153,4.14,1.92,3306,3621,316,Car,1,407.12,32.23,32.42,32.32,24.50,0.76,6.58,1
154,6.57,2.43,3326,3726,401,Car,2,400.95,24.57,26.22,25.07,79.27,3.19,43.50,0
155,4.14,1.92,3340,3640,301,Car,2,410.47,32.54,35.19,34.22,78.94,2.42,-1.00,0
156,4.35,1.92,3367,3665,299,Car,2,409.02,33.62,35.24,34.32,29.34,0.86,44.55,0
157,4.75,2.02,3386,3682,297,Car,2,408.49,34.06,35.16,34.52,17.49,0.50,13.40,0
158,5.05,1.92,3395,3707,313,Car,2,411.18,31.29,34.71,32.96,10.27,0.32,10.69,1
159,6.27,2.53,3398,3774,377,Car,1,408.60,26.63,27.56,27.18,20.68,0.76,-1.00,0
160,3.74,1.82,3429,3740,312,Car,1,400.10,32.00,32.55,32.18,153.91,4.73,550.04,1
161,5.05,2.32,3628,3927,300,Car,1,407.68,33.69,34.53,34.11,202.05,5.93,27.11,1
162,4.65,2.02,3641,3904,264,Car,1,406.97,35.22,42.16,38.71,12.85,0.36,14.40,0
163,3.94,2.02,3654,3938,285,Car,1,406.29,32.85,38.69,35.78,13.40,0.40,-1.00,0
164,16.78,2.50,3672,4105,434,Truck,1,405.78,23.25,23.58,23.44,25.32,1.08,-1.00,0
165,4.45,1.92,3678,3974,297,Car,1,406.94,33.74,35.70,34.39,24.56,0.70,11.61,1
166,4.65,1.82,3714,4048,335,Car,2,410.08,30.40,31.20,30.71,20.00,0.65,65.25,0
167,4.75,2.02,3723,3980,258,Car,2,410.66,36.38,43.46,39.98,-1.00,-1.00,-1.00,1
168,4.45,2.02,3743,4024,282,Car,1,407.33,35.50,37.08,36.26,66.90,1.88,33.89,1
169,4.75,2.02,3745,4026,282,Car,2,401.78,33.48,37.66,35.76,27.18,0.81,-1.00,0
170,16.78,2.50,3751,4164,414,Truck,2,409.17,24.06,25.46,24.78,26.67,1.06,-1.00,0
171,4.65,2.02,3773,4041,269,Car,1,406.67,37.12,40.58,37.97,31.18,0.82,14.21,0
172,4.85,1.92,3794,4088,295,Car,2,401.70,33.40,34.74,34.17,59.29,1.71,17.87,1
173,16.88,2.50,3805,4223,419,Truck,1,404.50,23.98,24.44,24.20,97.84,4.06,99.71,0
174,4.35,2.07,3808,4108,301,Car,1,409.07,32.85,34.45,34.10,50.24,1.53,-1.00,0
175,4.95,2.02,3817,4098,282,Car,2,402.89,33.91,40.63,35.87,20.91,0.56,7.58,0
176,12.03,2.50,3862,4301,440,Truck,2,409.00,22.97,23.78,23.30,95.80,4.16,-1.00,0
177,4.45,1.92,3867,4150,284,Car,2,407.70,34.89,38.13,36.05,57.47,1.62,53.72,0
178,4.95,2.02,3929,4239,311,Car,2,410.10,32.40,34.28,33.09,83.70,2.58,-1.00,0
179,16.67,2.50,3944,4380,437,Truck,2,408.52,22.86,23.78,23.43,56.33,2.38,203.91,0
180,4.55,2.12,3960,4221,262,Car,1,407.17,37.46,40.42,39.02,166.63,4.33,29.99,0
181,4.24,1.82,4016,4337,322,Car,2,409.20,30.93,32.50,31.87,109.34,3.53,-1.00,0
182,4.24,2.02,4032,4369,338,Car,1,407.19,29.50,30.60,30.22,169.81,5.61,27.08,0
183,3.84,1.92,4042,4332,291,Car,1,409.05,35.07,35.46,35.28,130.14,3.70,-1.00,0
184,8.59,2.50,4070,4532,463,Truck,2,406.99,21.25,23.47,22.03,17.25,0.81,-1.00,0
185,4.45,1.92,4076,4367,292,Car,1,408.81,34.68,35.29,35.14,43.45,1.25,491.44,0
186,4.24,1.92,4098,4389,292,Car,1,407.65,34.61,35.51,35.03,24.89,0.71,80.81,0
187,9.30,2.50,4111,4576,466,Truck,2,407.40,21.28,23.05,21.91,24.48,1.14,57.55,0
188,4.45,2.12,4113,4447,335,Car,2,408.68,29.99,31.34,30.61,79.13,2.62,12.42,1
189,5.05,2.22,4134,4426,293,Car,1,407.64,34.06,35.50,34.92,44.72,1.31,182.90,0
190,8.08,2.50,4145,4617,473,Truck,2,407.19,21.00,22.42,21.57,15.79,0.73,21.05,0
191,4.24,2.12,4164,4488,325,Car,2,409.88,30.15,34.14,31.64,58.47,1.91,-1.00,0
192,4.45,1.82,4166,4562,397,Car,1,408.49,25.54,25.98,25.80,12.27,0.47,-1.00,0
193,4.35,1.92,4168,4465,298,Car,1,407.16,33.39,35.13,34.29,41.24,1.19,28.91,1
194,4.85,2.12,4185,4464,280,Car,1,406.27,34.67,37.45,36.43,17.61,0.50,26.91,0
195,4.75,1.82,4195,4513,319,Car,2,410.10,30.22,33.64,32.26,25.35,0.78,15.83,0
196,16.78,2.50,4211,4679,469,Truck,2,406.01,21.27,22.18,21.69,37.89,1.77,43.34,0
197,4.35,1.92,4229,4553,325,Car,2,408.49,29.64,34.35,31.53,35.78,1.20,-1.00,0
198,4.85,2.02,4255,4591,337,Car,1,401.46,29.67,30.32,29.88,37.58,1.24,7.94,0
199,4.35,1.92,4303,4603,301,Car,2,410.14,32.25,35.53,34.19,58.96,1.75,16.30,0
200,4.14,1.92,4330,4632,303,Car,2,408.75,32.54,34.45,33.85,32.20,0.95,35.85,0
201,3.44,1.72,4331,4686,356,Car,1,405.59,28.52,28.81,28.57,83.85,2.93,-1.00,0
202,3.94,1.92,4350,4650,301,Car,2,408.75,33.58,34.34,34.08,20.41,0.60,18.02,0
203,4.95,2.02,4370,4666,297,Car,2,408.75,33.88,35.21,34.55,17.33,0.50,15.15,0
204,4.95,2.02,4392,4689,298,Car,2,409.20,33.77,35.05,34.45,24.24,0.71,26.08,0
205,4.75,2.02,4423,4794,372,Car,2,409.07,27.11,27.86,27.57,121.24,4.35,20.96,0
206,4.75,2.02,4431,4718,288,Car,2,408.23,34.72,36.35,35.57,36.01,1.03,26.48,0
207,16.98,2.50,4449,4868,420,Truck,1,384.42,22.39,23.88,22.95,32.68,1.44,-1.00,0
208,4.95,2.32,4476,4769,294,Car,2,407.82,33.96,36.72,34.82,59.25,1.69,63.17,0
209,4.65,1.82,4476,4784,309,Car,1,408.72,30.58,35.69,33.19,-1.00,-1.00,-1.00,0
210,16.27,2.50,4489,4914,426,Truck,1,404.95,22.39,24.81,23.83,4.89,0.21,4.69,0
211,3.94,1.82,4491,4814,324,Car,1,400.81,29.76,31.96,31.04,13.29,0.44,-1.00,1
212,4.65,2.12,4493,4784,292,Car,2,410.07,34.48,37.23,35.26,17.73,0.48,23.95,0
213,4.55,2.02,4512,4811,300,Car,2,402.20,32.46,35.02,33.65,36.47,1.06,6.11,1
214,4.35,2.02,4516,4837,322,Car,1,405.43,29.15,34.72,31.59,22.62,0.68,20.67,0
215,16.73,2.50,4527,4970,444,Truck,1,404.31,21.84,23.73,22.83,21.14,0.89,276.41,0
216,5.96,2.53,4534,4890,357,Car,1,406.88,27.98,29.22,28.59,16.57,0.57,-1.00,0
217,4.55,2.02,4549,4986,438,Car,1,405.63,22.26,24.22,23.21,9.26,0.40,7.85,0
218,4.65,2.02,4557,4909,353,Car,1,406.48,28.05,29.95,28.88,16.98,0.60,14.09,0
219,5.05,2.22,4579,4930,352,Car,1,408.06,28.33,29.99,29.07,19.12,0.66,12.55,0
220,4.85,2.22,4606,4949,344,Car,1,406.76,28.79,29.93,29.66,18.06,0.61,13.67,0
221,5.05,2.02,4645,4982,338,Car,1,407.35,29.73,30.68,30.24,34.66,1.13,35.54,0
222,19.10,2.50,4656,5094,439,Truck,1,405.35,23.01,23.30,23.15,80.03,3.46,85.88,0
223,4.14,1.92,4685,4980,296,Car,2,406.64,34.30,34.65,34.47,222.30,6.47,35.35,1
224,4.45,2.02,4699,5050,352,Car,1,406.38,26.75,30.68,28.95,58.36,2.18,-1.00,0
225,6.06,2.93,4713,5142,430,Car,1,407.11,23.19,24.15,23.74,38.37,1.62,49.23,0
226,4.55,1.92,4727,5087,361,Car,1,407.67,27.00,30.10,28.32,27.55,1.01,-1.00,0
227,3.94,1.82,4748,5177,430,Car,1,407.82,22.82,24.69,23.78,28.12,1.17,39.67,0
228,4.95,2.22,4754,5132,379,Car,2,408.78,26.40,27.56,27.04,141.76,5.23,-1.00,1
229,5.05,2.22,4763,5185,423,Car,2,408.03,23.59,24.74,24.18,22.76,0.94,-1.00,0
230,5.46,2.63,4788,5200,413,Car,1,406.45,22.58,26.21,24.67,15.31,0.65,9.00,0
231,4.75,2.02,4812,5258,447,Car,1,407.33,21.89,23.54,22.84,21.09,0.95,132.64,0
232,4.85,1.92,4831,5178,348,Car,1,406.19,28.99,29.60,29.28,98.34,3.34,48.82,0
233,4.95,2.02,4856,5115,260,Car,2,408.71,38.75,40.07,39.47,74.38,1.90,6.13,0
234,4.35,1.92,4865,5228,364,Car,1,404.83,27.69,28.08,27.89,34.45,1.23,-1.00,0
235,4.65,2.02,4893,5260,368,Car,1,405.59,27.07,28.19,27.64,27.75,1.01,152.54,0
236,4.85,2.43,4919,5291,373,Car,1,405.11,26.71,28.77,27.24,20.28,0.73,13.86,0
237,4.35,2.02,4938,5228,291,Car,2,400.39,34.13,34.89,34.54,61.86,1.77,6.10,1
238,5.15,2.22,4951,5326,376,Car,1,406.20,26.30,28.58,27.09,30.74,1.12,58.49,0
239,11.93,2.50,4955,5372,418,Truck,1,403.42,23.95,24.36,24.19,99.83,4.13,65.54,0
240,5.26,2.22,4964,5342,379,Car,1,406.57,26.17,28.38,26.89,9.46,0.33,31.78,0
241,4.45,2.02,5012,5391,380,Car,1,406.41,26.26,29.08,26.82,17.94,0.68,19.21,0
242,3.94,1.92,5033,5369,337,Car,1,357.38,26.10,27.62,26.60,22.22,0.83,33.04,0
243,4.04,1.92,5042,5423,382,Car,1,406.91,26.19,27.29,26.71,29.69,1.08,43.51,0
244,3.84,2.02,5065,5452,388,Car,1,406.75,26.13,26.50,26.29,21.59,0.82,226.40,0
245,4.85,1.92,5084,5471,388,Car,1,406.86,26.03,26.69,26.29,14.20,0.53,36.84,0
246,16.78,2.50,5109,5535,427,Truck,1,403.62,23.42,23.93,23.70,131.70,5.50,-1.00,0
247,4.75,1.82,5130,5446,317,Car,2,407.96,32.18,32.51,32.30,267.21,8.26,-1.00,0
248,4.85,2.12,5130,5509,380,Car,1,406.03,26.34,28.05,26.79,35.70,1.34,24.73,0
249,16.47,2.50,5137,5560,424,Truck,2,406.74,23.57,24.71,24.05,257.46,10.88,-1.00,0
250,4.45,2.12,5181,5551,371,Car,1,403.23,26.37,28.30,27.26,43.65,1.54,22.97,0
251,16.78,2.50,5225,5655,431,Truck,1,403.53,23.17,23.65,23.47,94.12,3.99,14985.93,0
252,4.85,2.02,5240,5627,388,Car,1,405.77,25.63,27.09,26.22,60.51,2.25,249.97,0
253,4.04,2.02,5270,5653,384,Car,1,404.21,24.36,28.21,26.40,15.69,0.60,10.65,0
254,10.81,2.43,5282,5712,431,Car,1,404.32,23.11,23.83,23.51,42.26,1.80,97.19,0
255,4.35,2.02,5287,5669,383,Car,1,404.50,24.32,28.23,26.48,9.68,0.39,11.70,0
256,4.45,1.92,5317,5709,393,Car,1,405.92,23.95,27.73,25.91,30.34,1.13,60.85,0
257,3.64,1.82,5319,5750,432,Car,1,405.11,22.76,24.19,23.51,29.88,1.25,50.84,0
258,4.04,1.82,5341,5737,397,Car,1,405.43,24.36,26.80,25.61,21.79,0.82,46.47,0
259,4.95,2.02,5354,5697,344,Car,2,408.25,29.56,30.04,29.77,157.38,5.32,32.05,0
260,5.15,2.22,5354,5753,400,Car,1,405.56,23.96,26.92,25.42,8.46,0.32,9.53,0
